Steven Gerrard pays high price for starting his farewell tour so early | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/steven-gerrard-farewell-liverpool-red-card, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Football/Pix/pictures/2015/3/23/1427138397137/Steven-Gerrard-Liverpool-003.jpg, 2015-03-23T17:46:00-0400, Steven Gerrard-Liverpool
Real Madrid suspend club member after Gareth Bale’s car targeted | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/real-madrid-suspend-member-gareth-bale-car-attacked, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Football/Pix/pictures/2015/3/23/1427146585695/Gareth-Bale-Real-Madrid-003.jpg, 2015-03-23T17:38:42-0400, Real Madrid-Gareth Bale-Carlo Ancelotti-La Liga-European club football
Minnesota United expected to be named MLS expansion club this week | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/minnesota-united-expected-to-be-named-mls-expansion-club-this-week, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Guardian/Pix/pictures/2015/3/23/1427139056540/b991e9b5-b050-4721-b63e-c68102d965bf-300x180.jpeg, 2015-03-23T16:20:34-0400, MLS-US sports-Minnesota-NASL (North American Soccer League)
Tottenham’s Ryan Mason called up by England after Adam Lallana injury | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/tottenham-ryan-mason-england-adam-lallana-injury, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Football/Pix/pictures/2015/3/23/1427141209950/Ryan-Mason-Tottenham-Hots-003.jpg, 2015-03-23T16:07:59-0400, England-Tottenham Hotspur-Italy-Euro 2016 qualifiers-Daniel Sturridge
Liverpool’s Martin Skrtel charged over stamp on David de Gea | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/liverpool-martin-skrtel-fa-charge-manchester-united, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Sport/Pix/pictures/2015/3/23/1427136697969/Manchester-Uniteds-David--003.jpg, 2015-03-23T14:56:14-0400, Liverpool-Manchester United-Steven Gerrard
Gareth Bale’s car reportedly attacked by Real Madrid fans after Barcelona loss | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/real-madrid-gareth-bale-jese-fans-attack-clasico-barcelona, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Football/Pix/pictures/2015/3/23/1427111503678/Gareth-Bale-006.jpg, 2015-03-23T14:49:25-0400, Real Madrid-Gareth Bale-Barcelona-La Liga-European club football
Uefa announces prize money up by a third as clubs share £1.64bn | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/uefa-football-champions-league-europa-cash-boost-revenue-sepp-blatter-congress, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Sport/Pix/pictures/2015/3/23/1427135269033/Sepp-Blatter-003.jpg, 2015-03-23T14:42:56-0400, Uefa-Champions League-Europa League-Dynamo Kyiv-Zenit St Petersburg
Greg Dyke uses Kane but top clubs to resist changes on homegrown talent | Owen Gibson | Football | The Guardian, http://www.theguardian.com/football/blog/2015/mar/23/dfgfd-dfgdf-fgdh, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Football/Pix/pictures/2015/3/23/1427134099304/Harry-Kane-England-003.jpg, 2015-03-23T14:05:00-0400, England-The FA-Greg Dyke-Football politics
FA chief Greg Dyke plans to get tough on overseas-player quotas | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/greg-dyke-fa-overseas-player-quotas, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Football/Pix/gallery/2015/3/23/1427127466297/Greg-Dyke-003.jpg, 2015-03-23T14:00:07-0400, The FA-Greg Dyke-Premier League-England-Football politics
Could Lucien Favre be Pep Guardiola’s future Bayern replacement? | Raphael Honigstein | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/lucian-favre-bayern-munich-borussia-monchengladbach, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Football/Clubs/Club_Home/2015/3/23/1427129931495/Borussia-M-nchengladbach-003.jpg, 2015-03-23T12:59:50-0400, Bundesliga-Borussia Mönchengladbach-Bayern Munich-European club football
Davor Suker: is he doing more for himself than for Croatian football? | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/davor-suker-serbia-croatia-uefa, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Guardian/Pix/pictures/2015/3/23/1427119284638/Davor-Suker-005.jpg, 2015-03-23T12:49:45-0400, Uefa
Why Juan Mata is a matchwinner and not a dangerous adornment | Barney Ronay | Football | The Guardian, http://www.theguardian.com/football/blog/2015/mar/23/juan-mata-manchester-united-louis-van-gaal, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Guardian/Pix/pictures/2015/3/23/1427128168600/Manchester-Uniteds-Juan-M-005.jpg, 2015-03-23T12:35:47-0400, Juan Mata-Manchester United-Louis van Gaal
The Fiver | An unfortunate case of superhero syndrome | Jacob Steinberg | Football | The Guardian, http://www.theguardian.com/football/2015/mar/23/steven-gerrard-timezone-stamp, i.guim.co.uk/static/w-300/h--/q-95/sys-images/Guardian/Pix/pictures/2015/3/23/1427125886352/8b9e5d70-ba81-4e22-8ee0-b05d2179f5ed-300x180.jpeg, 2015-03-23T12:18:32-0400, <no tags>
